"","fixed acidity","volatile acidity","citric acid","sugar","chlorides","free sulfur","total sulfur","density","pH","sulphates","alcohol"
"818",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9
"370",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12
"378",9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12
"356",6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8
"1169",6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12
"440",7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3
"871",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8
"878",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8
"635",7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5
"602",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9
"604",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9
"347",6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3
"1502",7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4
"1599",6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11
"742",9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5
"1046",6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4
"1190",8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6
"441",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8
"290",11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2
"781",7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4
"1386",8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2
"712",8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5
"1515",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.23333333333333
"1139",7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1
"1543",6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75
"1333",8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7
"454",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2
"459",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2
"437",8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2
"1516",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25
"420",6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9
"646",7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1
"690",8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4
"756",7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7
"1449",6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7
"57",10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6
"1013",7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10
"395",12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9
"744",11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10
"1480",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6
"1482",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6
"906",9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5
"546",9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1
"1473",7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1
"36",7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6
"1437",10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5
"520",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11
"527",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11
"1123",6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3
"904",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8
"905",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8
"298",7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6
"1453",6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6
"33",8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8
"680",10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6
"91",7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5
"521",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10
"295",13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5
"522",7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1
"445",5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5
"1095",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8
"1097",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8
"300",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6
"782",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8
"784",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8
"611",8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2
"1442",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.56666666666667
"1446",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6
"1596",5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2
"1131",9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4
"351",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9
"888",10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1
"776",7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10
"423",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9
"425",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9
"206",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8
"207",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8
"304",7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5
"1517",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6
"1523",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6
"382",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10
"392",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10
"1433",5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7
"1401",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9
"1402",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9
"1133",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6
"493",8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4
"371",6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9
"166",7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5
"1101",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4
"745",11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5
"612",13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4
"213",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2
"792",8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6
"210",11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5
"1047",7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7
"1467",7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10
"1469",7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10
"85",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3
"364",12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2
"1210",6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2
"975",8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1
"859",11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6
"1037",7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5
"484",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4
"757",6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2
"528",7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4
"265",12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9
"418",7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5
"514",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8
"515",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8
"601",8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10
"373",9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6
"761",9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7
"302",11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1
"506",10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5
"1491",7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4
"561",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4
"566",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4
"314",8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4
"1178",7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7
"161",7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6
"825",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3
"995",10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4
"256",8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3
"988",7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4
"1470",7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7
"1134",7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2
"581",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6
"582",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6
"350",9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4
"598",11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10
"1305",7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2
"931",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5
"935",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5
"1420",7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9
"434",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5
"436",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5
"505",10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8
"1577",8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8
"1226",9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4
"483",10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4
"844",7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4
"624",7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1
"1412",6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6
"409",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3
"198",11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1
"1287",7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4
"571",11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11
"974",8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7
"1081",10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8
"1059",9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6
"357",11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11
"262",7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4
"1191",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5
"694",9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4
"119",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9
"122",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9
"722",8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2
"297",10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9
"815",12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3
"1106",6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8
"508",11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5
"1254",7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5
"125",7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5
"872",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6
"1029",7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1
"1419",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8
"1421",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8
"1041",7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2
"1416",6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4
"160",6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3
"447",12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5
"1472",6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6
"1302",6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7
"695",9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4
"363",11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10
"345",11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7
"334",8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11
"947",10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12
"584",12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9
"1546",6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1
"1578",6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9
"1147",7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8
"600",12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3
"108",6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3
"352",9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4
"153",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1
"154",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1
"774",7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5
"1199",7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9
"469",11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2
"736",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5
"737",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5
"1120",5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9
"1489",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4
"1492",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4
"438",11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2
"1374",7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3
"374",7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2
"1360",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333
"1363",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333
"967",9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9
"343",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8
"344",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8
"473",12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4
"70",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5
"989",7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4
"991",7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4
"478",10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11
"843",10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9
"549",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4
"1335",7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10
"1352",7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8
"668",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2
"670",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2
"1391",6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5
"317",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1
"327",11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5
"1110",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8
"594",9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9
"1004",6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8
"1006",6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8
"147",5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10
"296",10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5
"1089",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9
"1090",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9
"1560",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9
"1561",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9
"1562",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9
"421",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8
"954",10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1
"583",11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2
"178",7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5
"507",10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8
"769",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7
"771",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7
"1540",7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9
"1393",7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8
"1356",6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1
"171",7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1
"139",7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5
"369",10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4
"1053",5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9
"968",8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2
"775",7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5
"978",8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1
"191",8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4
"783",9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10
"1573",7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5
"471",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6
"17",8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5
"1057",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1
"1060",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1
"938",12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4
"739",9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2
"618",11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8
"1598",5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2
"741",8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5
"1058",7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1
"642",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5
"644",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5
"192",6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8
"1591",6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6
"1415",10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6
"1417",10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6
"1403",7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9
"1357",6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1
"1107",8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3
"312",7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4
"1504",6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11
"795",10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5
"187",7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2
"578",8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5
"1125",6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5
"360",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8
"562",9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2
"492",9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3
"1055",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1
"1056",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1
"65",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9
"66",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9
"992",7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4
"994",7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4
"280",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5
"284",8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5
"969",9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2
"1485",6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9
"1024",8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3
"1114",8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5
"504",10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9
"664",10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2
"1481",5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1
"467",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5
"734",7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5
"882",7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4
"19",7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9
"1061",11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9
"151",7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3
"428",9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6
"1193",7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4
"669",10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11
"597",12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3
