"","fixed acidity","volatile acidity","citric acid","sugar","chlorides","free sulfur","total sulfur","density","pH","sulphates","alcohol"
"442",11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3
"1011",8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3
"1592",5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6
"140",7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5
"1247",7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10
"83",7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1
"809",7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2
"306",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3
"311",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3
"660",7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11
"665",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2
"49",6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2
"812",12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9
"949",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9
"950",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9
"951",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9
"509",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2
"512",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2
"760",8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2
"621",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4
"186",8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7
"579",8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8
"1221",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5
"1222",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5
"1312",6.5,0.51,0.15,3,0.064,12,27,0.9929,3.33,0.59,12.8
"324",10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5
"287",12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3
"976",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4
"977",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4
"1220",9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9
"129",8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5
"780",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8
"1594",6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5
"659",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6
"661",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6
"1336",6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6
"1045",6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2
"880",7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5
"884",7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5
"1456",6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9
"232",8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9
"895",7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8
"400",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4
"535",10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10
"971",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9
"972",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9
"845",9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6
"208",7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3
"2",7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8
"619",11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2
"450",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8
"451",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8
"550",9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4
"993",6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4
"1225",12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3
"465",11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2
"476",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2
"479",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2
"810",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3
"785",7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8
"806",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8
"808",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8
"475",10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4
"1198",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8
"1201",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8
"671",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10
"13",5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9
"1541",6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6
"1587",7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4
"144",6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4
"1511",6.4,0.36,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7
"1002",9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6
"24",8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4
"892",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7
"894",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7
"798",9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8
"1455",11.7,0.45,0.63,2.2,0.073,7,23,0.99974,3.21,0.69,10.9
"1299",5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2
"1182",9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4
"719",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6
"721",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6
"1126",8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3
"196",7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4
"1405",8,0.5,0.39,2.6,0.082,12,46,0.9985,3.43,0.62,10.7
"417",10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7
"820",9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6
"1122",6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3
"1028",6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6
"532",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3
"533",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3
"1064",10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8
"1576",7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8
"910",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5
"915",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5
"939",7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9
"538",8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7
"1323",9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4
"81",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2
"1087",8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6
"403",12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5
"419",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4
"310",7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5
"525",9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5
"1376",7.2,0.56,0.26,2,0.083,13,100,0.99586,3.26,0.52,9.9
"941",9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4
"1128",6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5
"109",8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6
"982",9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10
"1152",6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5
"1065",8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8
"1168",8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4
"1071",9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1
"455",7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1
"54",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4
"1574",6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5
"318",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4
"320",9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4
"861",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5
"865",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5
"801",7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4
"526",10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9
"807",8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5
"830",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1
"832",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1
"1268",10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4
"1033",8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6
"622",8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4
"987",9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4
"564",7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1
"1514",6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5
"914",9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2
"1186",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9
"1188",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9
"1151",8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8
"1293",5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4
"1452",7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11
"482",9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7
"335",7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7
"666",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7
"1027",7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6
"1518",6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3
"1521",6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3
"713",8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4
"1280",9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5
"150",8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5
"319",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5
"321",9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5
"948",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4
"952",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4
"1445",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1
"4",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8
"1370",6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4
"1584",6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8
"98",7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2
"723",7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10
"1553",6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3
"1205",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11
"1206",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11
"1207",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11
"1209",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11
"1231",7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8
"1533",7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9
"840",6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10
"620",11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3
"61",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2
"1510",7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1
"1358",7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1
"415",8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5
"1440",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.0666666666667
"1534",8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9
"519",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7
"463",11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8
"303",8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10
"863",7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4
"1084",8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12
"639",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2
"1593",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11
"1597",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11
"138",7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2
"587",11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6
"1499",6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8
"1038",7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2
"1113",7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11
"185",6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3
"590",10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5
"381",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
"383",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
"384",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4
"793",7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7
"130",6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4
"1465",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7
"1466",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7
"1382",6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6
"1557",6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9
"1429",7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11
"51",8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2
"1240",6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8
"1519",7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5
"684",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3
"686",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3
"1495",6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10
"488",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10
"648",8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11
"1586",7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5
"435",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9
"439",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9
"1244",8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5
"1566",6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9
"1583",6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9
"570",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7
"572",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7
"856",7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7
"22",7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7
"99",7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8
"23",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5
"28",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5
"846",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8
"847",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8
"849",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8
"1385",7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5
"1544",11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4
"333",8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4
"866",7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7
"328",10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5
"632",10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5
"1073",7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5
"979",7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3
"184",6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3
"1337",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5
"1338",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5
"1339",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5
"728",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5
"729",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5
"1522",6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05
"408",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8
"955",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2
"1215",10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4
"168",7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9
"1096",9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5
"641",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
"643",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
"645",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4
"1145",7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1
"1462",6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10
"699",9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7
"1026",8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4
"136",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6
"141",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6
"1286",11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5
"704",7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6
"747",8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9
"1088",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2
"1365",7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8
"940",6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4
"1111",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10
"936",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8
"937",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8
"1143",6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4
"788",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1
"789",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1
"358",10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7
"260",10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5
"588",7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3
"1062",9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5
"1077",9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4
"1366",7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5
"55",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2
"398",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11
"399",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11
"359",11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4
"850",6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8
"864",7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7
"111",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5
"115",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5
"1424",6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11
"1263",9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8
"740",9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3
"607",9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2
"446",9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1
"424",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11
"431",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11
"26",6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3
"1398",7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9
"577",9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10
"841",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1
"217",8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11
"1345",11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11
"1351",9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10
"1364",8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8
"1016",10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4
"1460",7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9
"123",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2
"1450",7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3
"1555",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11
"1558",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11
"230",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11
"234",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11
"486",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10
"487",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10
"672",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5
"674",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5
"174",7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5
"48",8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5
"1493",6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95
